isbn,title,publisher,publication_date,series_name,book_format,language,print_length,isbn_10,isbn_13,item_weight,length,width,height,rating,number_of_reviews,availability,price,best_sellers_rank,customer_reviews,reading_age,edition,author,asin,description,product_url,scrape_status,error_message
9.78075E+12,Snakes Alive!,Kingfisher,1/1/2012,,Paperback,English,32,9.78075E+12,9.78075E+12,2.08,8.98,5.91,0.16,,,,6.79,,,,,Louise P. Carroll,753433206,"This irresistible reading series is sure to fire the imagination of young readers with its exciting range of high-interest topics and its great-looking, easy-to-follow design. Developed with literacy experts, this five-level graded reading series will guide young readers as they build confidence and fluency in their literacy skills and progress towards reading alone. Snakes Alive introduces beginner readers to these amazing reptiles. It includes facts about habitat, how snakes move, smell and find their food. Children can discover the biggest, the smallest, which snakes rattle and which snakes hiss. See www.kingfisherreaders.com for series information.  Read more",https://www.amazon.com/Snakes-Alive-Louise-P-Carroll/dp/0753433206,success,
9.78145E+12,Chuggington - Mtambo's Amazing Adventure,Parragon Book Service Ltd,,,Paperback,English,,1445427486,9.78145E+12,2.88,,,,5,1,Usually ships within 6 to 7 days,17.4,9641317,5,,,,,"Mtambo's Amazing Adventure Mtambo wants to explore far away places, but he soon discovers and amazing adventure closer to home! Part of the Chuggington Mini Picture Book Collection  Read more",https://www.amazon.com/Chuggington-Mtambos-Amazing-Adventure/dp/1445427486,success,
9.78179E+12,Disney Pixar Toy Story 4,,,,Hardcover,English,,1789052505,9.78179E+12,10.2,9.45,7.09,0.39,4.7,21,,7.99,,4.7,,,Phoenix International Publications,,"This sound book contains the amazing new (and familiar favorite!) characters of Disney Pixar's Toy Story 4 , now out in theaters! Press 13 interactive buttons to bring an exciting Toy Story adventure to life with fun sounds! Matching words with pictures and sounds enhances reading comprehension, and connecting with favorite characters engages young readers at story time. This Sound Book is special  Read more",https://www.amazon.com/Disney-Pixar-Toy-Story-4/dp/1789052505,success,
9.78079E+12,Lift-the-flap Counting Book,Usborne Pub Ltd,1/1/2011,Preschool Learning,Hardcover,English,16,079452916X,9.78079E+12,24.64,10,8.5,0.75,4.6,78,Usually ships within 8 to 9 days,27.99,283034,4.6,5.5,Ltf Brdbk,"Felicity Brooks, Corinne Bittler",,Introduces the numbers from one to five by having young readers lift a flap to see pictures of objects and animals in different quantities. On board pages.  Read more,https://www.amazon.com/Lift-flap-Counting-Felicity-Brooks/dp/079452916X,success,
9.7816E+12,"Evan-Moor Skill Sharpeners Spell and Write Workbook, Grade PreK, Alphabet Stories, Letter Names, Test Prep, Capital and Lower Case, Matching, Trace and Write, Circle the Letter, Vocabulary, Homeschool",Evan-Moor Educational Publishers,1/6/2005,,Paperback,English,144,1596730439,9.7816E+12,36.96,10.7,8.3,0.5,4.6,105,In Stock,8.94,141040,4.6,4.5,Activity Book,Evan-Moor Educational Publishers,,"Get ready for kindergarten with Skill Sharpeners: Spell & Write grade PreK!Each of the 26 colorful themed units highlight a different upper- and lowercase alphabet letter, one unit for each letter of the alphabet, and help children practice important reading readiness skills.Each activity book includes:An alphabet story to help children connect letters and soundsVocabulary and comprehension activity pages to help children recognize and match lettersFine motor skills activity pages to help develop writing skillsTest your skills activity pages to check children’s understandingReading readiness skills practiced include: Identifying capital and lowercase lettersVocabulary developmentVisual discriminationEvery Skill Sharpeners workbook now includes a free downloadable Teaching Guide! The Skill Sharpeners: Spell & Write Teaching Guides include:How to Use directions for teaching languageSample pacing guide to complete lessons and activitiesTeaching suggestions with writing graphic organizers and language journalsExtension activities that include fun language games and writing activitiesVisual aids that include printable word lists and study cards for difficult spelling patternsAbout Evan-Moor A leader in PreK–8 educational publishing, Evan-Moor has been a trusted partner of teachers and parents for over 40 years. Our mission is helping children learn, and we do this by creating resources that motivate children to learn important skills and concepts across the curriculum while also inspiring a love of learning.  Read more",https://www.amazon.com/Evan-Moor-Sharpeners-Workbook-Vocabulary-Homeschool/dp/1596730439,success,
9.78055E+12,The Mummy with No Name (Geronimo Stilton #26),Scholastic Inc.,1/11/2011,,Kindle,English,139,,9.78055E+12,,,,,4.6,637,,3.73,,4.6,8.5,Illustrated,Geronimo Stilton,B005HE3R7W,"Enter the world of Geronimo Stilton, where another funny adventure is always right around the corner. Each book is a fast-paced adventure with lively art and a unique format kids 7-10 will love.Halloween and Egypt and mummies . . . oh, my! I admit it, I am a 'fraidy mouse. Halloween scares me out of my fur! But this Halloween, I was heading off on an adventure in one of my very favorite places: Egypt. I couldn't wait to see the sights and soak up some sun far away from New Mouse City. What I didn't realize was that Halloween is popular in Egypt, too -- with the mummies, that is! Oh, what's a 'fraidy mouse to do?  Read more",https://www.amazon.com/Geronimo-Stilton-26-Mummy-Name-ebook/dp/B005HE3R7W,success,
9.78145E+12,Reference 5+: Children's Planet Erath Encyclopedia,Parragon Books,1/1/2010,,Hardcover,English,228,1445406535,9.78145E+12,33.92,10.24,8.07,0.79,4.2,2,Only 1 left in stock - order soon.,5,,4.2,,,,,"Updated early encyclopedia filled with facts, photographs and amazing new artwork. Eye-catching lenticular and pantone cover finish  Read more",https://www.amazon.com/Reference-Childrens-Planet-Erath-Encyclopedia/dp/1445406535,success,
9.78145E+12,Disney Princess Picture Storybook,Parragon Book Service Ltd,1/9/2011,,Paperback,English,32,1445425912,9.78145E+12,4.2,8.27,8.27,0.12,2.3,3,,7.99,,2.3,,,Parragon Books,,,https://www.amazon.com/Disney-Princess-Picture-Storybook-Parragon/dp/1445425912,success,
,,,,,,,,,,,,,,4.7,,,,,,,,,,,https://www.amazon.com/Comprehension-and-Critical-Thinking-6-book-series/dp/B0D4QFYBYD,fail,
9.78178E+12,Little Mermaid (Reading with Phonics),Make Believe Ideas,1647-01-01,,Hardcover,English,,1782356177,9.78178E+12,36.96,7.2,4.84,0.31,4.7,59,Only 2 left in stock - order soon.,5.75,6283738,4.7,,,,,,https://www.amazon.com/Little-Mermaid-Reading-Phonics-Fennell/dp/1782356177,success,
9.78276E+12,Dora the Explorer - Where is Tico? - Storybook Playset w/ 12 Figures (My Busy Books),Phidal Publishing Inc.,1/4/2010,,Board book,English,10,2764317638,9.78276E+12,26.4,,,,4.3,26,,12.88,5087129,4.3,,,Phidal Publishing Inc.,,"An engaging storybook and toy in one activity kit! My Busy Books offer full-page illustrations, a story, figurines, and a playmat that bring the characters to life and ignite your child's imagination. 3 years and up.© Viacom International Inc. All Rights Reserved.Features:Sturdy board bookColorful imagesLively storyPlastic figurinesDurable playmatFigurines and playmat stored in the bookPortable10 pages of fun!Since 1979, Phidal Publishing has introduced children to the joys of reading by creating colorful, safe, and fun products. Our goal is to both educate and entertain children by engaging their imaginations. Our books feature familiar faces and original characters in innovative formats developed to meet the needs of parents and children. We at Phidal are honored that families and educators around the world continue to rely on our collection of carefully crafted books, which spark young imaginations and introduce children to the joys of reading and learning.  Read more",https://www.amazon.com/Dora-Explorer-Storybook-Playset-Figures/dp/2764317638,success,
9.78147E+12,"Disney Pixar Cars 3 Sticker Scenes [Paperback] [Jan 01, 2017] Parragon Books Ltd",Parragon Books Ltd,,,Paperback,English,32,9.78147E+12,9.78147E+12,4.2,9.45,7.09,0.39,4.4,6,,,,4.4,,,Parragon Books,1474872050,"BRAND NEW, Exactly same ISBN as listed, Please double check ISBN carefully before ordering.  Read more",https://www.amazon.com/Disney-Pixar-Cars-Sticker-Scenes/dp/1474872050,success,
9.78147E+12,Beg Boxset Science,USBORNE,,,Hardcover,English,,1474929087,9.78147E+12,10.4,7.87,5.51,1.57,4.8,123,Only 1 left in stock - order soon.,17.25,7471624,4.8,,,,,,https://www.amazon.com/Beg-Boxset-Science/dp/1474929087,success,
9.78162E+12,"Alphabet Games and Puzzles Stick Kids Workbook, Grade PreK",Creative Teaching Press,31/5/2012,,Paperback,English,56,1616017716,9.78162E+12,4.8,8.7,6.4,0.2,4.5,2,,,,4.5,,,Majella Maas,,"Every day your child is acquiring skills needed for entry into the world beyond family and home. Although your childs fi rst day of Kindergarten may be a year or two away, you can begin now to prepare him or her for a successfulschool experience. This book provides engaging, simple activities to promote basic alphabet skills, letter/sound knowledge, visual discrimination, problem solving, and small muscle development. These skills are the foundation of reading and writing. In addition, academic vocabulary (vocabulary commonly used in the classroom) will be introduced to your child. Although repetition is crucial to early learning, remember to have fun! Upon your childs completion of each activity, use the provided incentive chart and stickers to track progress and celebrate your childs success.Whether students need extra practice with grade-level skills or a head start on next year, Stick Kids® Workbooks offer engaging activities, games, and puzzles that help make learning lots of fun. Each 56-page book features full-color activities, a list of the skills, and an explanation of why those skills are important for development. Also included are helpful tips, an answer key, a handy tracking sheet, stickers for acknowledging achievements, and appearances by the lovable Stick Kids!These right-sized (7 x 9) skill practice workbooks are perfect for use at school, or as entertaining activities on the go. Tuck them into a backpack, purse, or travel bag. Great for school breaks, vacations, and year-long practice.SKILLSUppercase letter recognitionLowercase letter recognitionLetter/sound relationshipsHand-eye coordinationFine motor developmentHOW YOU CAN HELP SUPPORT LEARNINGWork with your child in a quiet, calm setting.Complete some activities together.Provide a selection of writing tools, such as colored chalk or pencils, markers, and crayons, to keep the activities engaging. Move on if a particular activity is too challenging and revisit it at a later time.Help your child feel successful by giving plenty of encouragement.  Read more",https://www.amazon.com/Alphabet-Games-Puzzles-Workbook-Workbooks/dp/1616017716,success,
,Lift-the-Flap First Sums,,,,Hardcover,,,,,,,,,4.7,43,Usually ships within 5 to 7 days,19.01,,4.7,,,"Felicity Brooks, Mélisande Luthringer",,"With over 50 flaps to lift, this delightful book helps young children learn how to add and take away numbers from zero to ten. Pages show scenes such as a garden, a beach, a bakery and a market with simple arithmetic questions. Children can do the sums then lift up a leaf, a sandcastle or a tray of tasty jam tarts to reveal the answers.  Read more",https://www.amazon.com/Lift-the-Flap-First-Sums/dp/1474919049,fail,
9.78161E+12,Double Down (Diary of a Wimpy Kid #11),Amulet Books,1/11/2016,,Kindle,English,224,,9.78161E+12,,,,,4.7,31225,,5.21,,4.7,9.5,Illustrated,Jeff Kinney,B01CSRHFOG,"In Double Down, book 11 of the Diary of a Wimpy Kid series from #1 international bestselling author Jeff Kinney, the pressure’s really piling up on Greg Heffley. His mom thinks video games are turning his brain to mush, so she wants her son to put down the controller and explore his “creative side.” As if that’s not scary enough, Halloween’s just around the corner and the frights are coming at Greg from every angle.  When Greg discovers a bag of gummy worms, it sparks an idea. Can he get his mom to ease off by making a movie . . . and will he become rich and famous in the process? Or will doubling down on this plan just double Greg’s troubles?Collect all the books in the #1 bestselling Diary of a Wimpy Kid series: Diary of a Wimpy Kid (#1) | Rodrick Rules (#2) | The Last Straw (#3) | Dog Days (#4) | The Ugly Truth (#5) | Cabin Fever (#6) | The Third Wheel (#7) | Hard Luck (#8) | The Long Haul (#9) | Old School (#10) | Double Down (#11) | The Getaway (#12) | The Meltdown (#13) | Wrecking Ball (#14) | The Deep End (#15) | Big Shot (#16) | Diper Överlöde (#17) | No Brainer (#18) | Hot Mess (#19) | Partypooper (#20)See the Wimpy Kid World in a whole new way with the #1 bestselling Awesome Friendly books, told from the perspective of Greg Heffley’s best friend Rowley Jefferson: Diary of an Awesome Friendly Kid: Rowley Jefferson’s Journal | Rowley Jefferson’s Awesome Friendly Adventure | Rowley Jefferson’s Awesome Friendly Spooky Stories  Read more",https://www.amazon.com/Double-Down-Diary-Wimpy-Kid-ebook/dp/B01CSRHFOG,success,
9.78141E+12,Parragon Disney.Pixar Cars-Storybook Collection,Parragon,1/1/2014,,Paperback,English,96,1407553267,9.78141E+12,11.3,8.27,4.92,0.59,,,,,,,,,Unknown,,"Featuring your favorite Disney characters, these best selling storybook collections have been completely redesigned with all new covers, gilded pages, newly edited text, and a classic new look with over 250 illustrations—including full-page art work from  Read more",https://www.amazon.com/Parragon-Disney-Pixar-Cars-Storybook-Collection-None/dp/1407553267,success,
9.78141E+12,"Disney Snow White and the Seven Dwarfs: Good Bad, Happy Sad",Parragon Book Service Ltd,,,Board book,English,,1407583026,9.78141E+12,4.8,,,,,,In stock,8.86,,,,,,,,https://www.amazon.com/Disney-Snow-White-Seven-Dwarfs/dp/1407583026,success,
9.78145E+12,Stories for Five Year Olds,Parragon Inc,1/1/2011,,Hardcover,English,29,1445419890,9.78145E+12,11.2,10.25,8.25,0.5,4,1,,1.5,,4,7,,"Nick Ellsworth, Ronne Randall, Gaby Goldsack, Clive Batkin, Claire Henley",,"Ellsworth, Nick, Randall, Ronne, Goldsack, Gaby, Batkin, Clive  Read more",https://www.amazon.com/Stories-Five-Year-Olds-Ellsworth/dp/1445419890,success,
9.7819E+12,Guinness World Records Gamer's Edition 2009,Time Home Entertainment Inc.,3/2/2009,,Hardcover,English,216,1904994458,9.7819E+12,30.88,10.38,7.25,0.85,4,14,Only 1 left in stock - order soon.,24.99,4312068,4,,Revised edition,Guinness World Records,,"Lists records, superlatives, and unusual facts about computer and video games, and includes interviews with champion gamers, tips on play, and profiles of the best-selling games.  Read more",https://www.amazon.com/Guinness-World-Records-Gamers-2009/dp/1904994458,success,
9.78074E+12,101 Dalmatians (Disney 101 Dalmatians) (Step into Reading),RH/Disney,5/1/2021,Step into Reading,Kindle,English,32,736431829,9.78074E+12,36.96,9,6,0.09,4.8,179,In Stock,3.99,52784,4.8,3.5,Illustrated,"Pamela Bobowicz, RH Disney",,Boys and girls ages 4 to 6 can follow dozens and dozens of puppies as they battle the evil dognapper Cruella de Vil in this Step into Reading adaptation of the beloved Disney animated film 101 Dalmatians!  Read more,https://www.amazon.com/Dalmatians-Disney-Step-into-Reading/dp/0736431829,success,
9.78134E+12,Happy Birthday! (Peppa Pig),Scholastic Inc.,28/5/2019,Peppa Pig,Kindle,English,28,,9.78134E+12,,,,,4.8,1318,,2.99,,4.8,3.5,,"Annie Auerbach, EOne",B07CNJJXL8,"Celebrate Peppa's birthday in this charming storybook!It's Peppa Pig's birthday! Peppa invites her friends to a very special birthday party, complete with a magic show by The Amazing Mysterio -- also known as Daddy Pig. Find out what birthday surprises are in store for Peppa!Includes an exclusive Peppa Pig birthday card. Based on the hit TV show on Nick Jr.!  Read more",https://www.amazon.com/Happy-Birthday-Peppa-Annie-Auerbach-ebook/dp/B07CNJJXL8,success,
9.78141E+12,My First Library: Toy Story,"Publications International, Ltd.",20/7/2009,,Board book,English,10,1412718821,9.78141E+12,34.4,8.7,6.42,3.31,4.4,25,Only 1 left in stock - order soon.,26.19,865145,4.4,2,Brdbk,"Editors of Publications International, Ltd.",,"My First Library: Toy Story is a collection of exciting storybooks from Disney/Pixar s popular Toy Story movies. Designed for children ages 10 months and older, this library consists of 12 chunky board books that come in a keepsake storage box.The storage box has a convenient handle that makes it easy to carry, as well as a colorful design that is sure to capture the imagination of children. The board books are the perfect size for little hands and they are able to withstand rough handling.Toddlers will love to look at familiar pictures of Buzz Lightyear, Woody, and their pals while parents read the simple stories to them. This collection includes stories based on the plots from both Toy Story and Toy Story 2: Woody and Andy  To Infinity and Beyond!  Buzz and Woody s Adventure  Caught!  Sid, the Mean Kid  Home Again  Stealing Woody  Playing  Woody s Roundup  Woody s Big Decision  Buzz Lightyear to the Rescue  The Big Escape My First Library: Toy Story conforms to the safety requirements of ASTM F963-07.  Read more",https://www.amazon.com/My-First-Library-Toy-Story/dp/1412718821,success,
9.78174E+12,Tracey Moroney's When I'm Feeling..Jealous,The Five Mile Press Pty Ltd; edition (2013-11-01),1/11/2013,,Paperback,English,16,1743469624,9.78174E+12,2.82,,,,4.8,16,,23.44,,4.8,4,,Trace Morony,,"Kartais PAVYDO jausmas gali pastūmėti tave krėsti kvailystes. Tačiau atmink, kad kiekvienas iš mūsų esam vieninteliai ir ypatingi. Ir tu toks esi!Tai žaisminga ir gausiai iliustruota knygelė mažiesiems, kurioje vaikai supažindinami su pavydo jausmu ir mokoma jį nugalėti.Knygelės „Kai jaučiu pavydą“ pabaigoje Pastabose tėveliams rasite psichologų įžvalgų ir patarimų, ką daryti, kai vaikas jaučia pavydą.  Read more",https://www.amazon.com/Tracey-Moroneys-When-Feeling-Jealous/dp/1743469624,success,
9.78141E+12,"Disney Sticker Scene: ""Toy Story 3""",Parragon (Disney),1/6/2010,,Paperback,English,12,1407583816,9.78141E+12,4.6,10.63,8.46,0.2,,,,7.99,,,,,Parragon Books,,"Disney Sticker Scene: ""Toy Story 3""  Read more",https://www.amazon.com/Disney-Sticker-Scene-Toy-Story/dp/1407583816,success,
,13-Storey Treehouse,,,,Audiobook,,,,,,,,,4.5,4043,,0.99,,4.5,,,"Andy Griffiths, Stig Wemyss, Bolinda Publishing Pty Ltd",,"Andy and Terry live in a 13-storey treehouse. They've also got a new book to write, but there's a problem. A BIG problem. Well, quite a few big problems actually....  On a hill not too far away there is a tree. And in that tree there is a tree house. And in that tree house there is a bowling alley, a see-through swimming pool, a tank full of sharks, a giant rope swing, a library full of comics, a secret underground laboratory, a vegetable vaporiser and a free marshmallow-dispensing machine that follows you around and automatically shoots marshmallows into your mouth whenever you are hungry.  Read more",https://www.amazon.com/13-Storey-Treehouse-audiobook/dp/B006LPQ872,fail,
9.78149E+12,Inkredibles Finding Dory Magic Ink Pictures,Hinkler Books,,,Paperback,English,,1488900205,9.78149E+12,3.52,8.35,6.3,0.91,4.6,9,,,,4.6,,,,,,https://www.amazon.com/Inkredibles-Finding-Dory-Magic-Pictures/dp/1488900205,success,
9.78134E+12,Captain Underpants and the Preposterous Plight of the Purple Potty People: Color Edition (Captain Underpants #8): From the Creator of Dog Man,Scholastic Inc.,7/3/2023,,Kindle,English,176,1338864386,9.78134E+12,36.96,8.5,5.75,0.75,4.8,5404,In Stock,5.58,16762,4.8,7.5,Color,Dav Pilkey,,"George and Harold's time-traveling Purple Potty lands them in a crazy place in the eighth book in this #1 New York Times bestselling series by Dav Pilkey, the author and illustrator of Dog Man!The teachers are nice, the cafeteria serves delicious food, and the school principal, Mr. Krupp, thinks George and Harold are hilarious. Something is very, very wrong -- and it gets even wronger when the boys' pet pterodactyl, Crackers, and Sulu the Bionic Hamster are captured by George and Harold's evil-twin look-alikes. Now George and Harold must face their greatest foes yet: THEMSELVES! Can they handle this mess on their own, or will they need Captain Underpants to swoop in and save the day?  Read more",https://www.amazon.com/Captain-Underpants-Preposterous-Plight-Purple/dp/1338864386,success,
9.78145E+12,Learn the Alphabet (Disney Pixar Cars),Parragon,,,Perfect Paperback,English,54,1445400065,9.78145E+12,1.45,11.02,8.66,0.39,,,,,,,,,,,,https://www.amazon.com/Learn-Alphabet-Disney-Pixar-Cars/dp/1445400065,success,
9.78145E+12,Chuggington - Frostini's Fruit Fandango,Parragon Book Service Ltd,1/1/2011,,Paperback,English,,1445427478,9.78145E+12,2.88,,,,4.8,6,,56.51,,4.8,,,,,"Frostini's Fruit Fandango When Wilson breaks Frostini's ice cream machine, he discovers a fun way to make new flavours! Part of the Chuggingotn Mini Picture Book Collection  Read more",https://www.amazon.com/Chuggington-Frostinis-Fruit-Fandango/dp/1445427478,success,
9.78142E+12,The Third Wheel (Diary of a Wimpy Kid #7) (Volume 7),Harry N. Abrams,13/11/2012,,Kindle,English,224,1419741934,9.78142E+12,13.8,8.25,5.7,0.9,4.6,22747,In Stock,5.18,1371,4.6,9.5,Illustrated,Jeff Kinney,B00M0D2HQ0,"In The Third Wheel, book 7 of the Diary of a Wimpy Kid series from #1 international bestselling author Jeff Kinney, love is in the air—but what does that mean for Greg Heffley? A Valentine's Day dance at Greg's middle school has turned his world upside down. As Greg scrambles to find a date, he's worried he'll be left out in the cold on the big night. His best friend, Rowley, doesn't have any prospects either, but that's a small consolation. An unexpected twist gives Greg a partner for the dance and leaves Rowley the odd man out. But a lot can happen in one night, and in the end, you never know who's going to be lucky in love—and who will end up being the third wheel.Collect all the books in the #1 bestselling Diary of a Wimpy Kid series: Diary of a Wimpy Kid (#1) | Rodrick Rules (#2) | The Last Straw (#3) | Dog Days (#4) | The Ugly Truth (#5) | Cabin Fever (#6) | The Third Wheel (#7) | Hard Luck (#8) | The Long Haul (#9) | Old School (#10) | Double Down (#11) | The Getaway (#12) | The Meltdown (#13) | Wrecking Ball (#14) | The Deep End (#15) | Big Shot (#16) | Diper Överlöde (#17) | No Brainer (#18) | Hot Mess (#19) | Partypooper (#20)See the Wimpy Kid World in a whole new way with the #1 bestselling Awesome Friendly books, told from the perspective of Greg Heffley’s best friend Rowley Jefferson: Diary of an Awesome Friendly Kid: Rowley Jefferson’s Journal | Rowley Jefferson’s Awesome Friendly Adventure | Rowley Jefferson’s Awesome Friendly Spooky Stories  Read more",https://www.amazon.com/The-Third-Wheel/dp/B00M0D2HQ0,success,
9.78149E+12,Inkredibles Frozen 2 Invisible Ink,Hinkler Books,,,Toy,English,,148891429X,9.78149E+12,3.52,10.04,6.3,0.87,,,,9.99,,,,,,,,https://www.amazon.com/Inkredibles-Frozen-2-Invisible-Ink/dp/148891429X,success,
9.78055E+12,Dentist Trip (Peppa Pig),Scholastic Inc.,29/12/2015,Peppa Pig,Kindle,English,29,,9.78055E+12,,,,,4.7,1660,,3.99,,4.7,2.5,Nov,Scholastic,B00YD46DZ0,"It's time for Peppa and George to go to the dentist!Peppa and George are going to the dentist today. It's George's first visit, so he's a little nervous--but Peppa shows him that a trip to the dentist can be lots of fun!  Read more",https://www.amazon.com/Dentist-Trip-Peppa-Pig-Scholastic-ebook/dp/B00YD46DZ0,success,
,The 39-Storey Treehouse,,,,Audiobook,,,,,,,,,4.4,2663,,0.99,,4.4,,,"Andy Griffiths, Stig Wemyss, Bolinda Publishing Pty Ltd",,"Shortlisted for the 2014 Indie AwardsAndy and Terry's amazing treehouse has 13 new levels including a chocolate waterfall, a non-erupting active volcano, an opera house, a baby-dinosaur petting zoo, Andy and Terry's Believe it or Else! museum, a not-very-merry merry-go-round, a boxing elephant called the Trunkinator, an X-Ray room, a disco with light-up dance floor, the world's scariest roller-coaster and a top-secret 39th level that hasn't even been finished yet! Well, what are you waiting for? Come on up!   Read more",https://www.amazon.com/The-39-Storey-Treehouse/dp/B00ECFG6YI,fail,
9.78174E+12,Alphabet Wall Chart: School Zone Wall Charts,Hinkler Books,1/1/2008,,Paperback,English,,1741815797,9.78174E+12,5.6,6.26,3.23,0.91,5,1,,,,5,3,,-,,"Involve your child in the joy of learning the ABC's. Our Alphabet flash cards bring skills such as memory, listening, and movement into each fun-filled lesson. Children will get to know phonics and be able to connect letter sounds with K is for Kite, for example. They will also learn that each letter is a symbol that can be memorized. Offer this colorful world of letters to your child today. Fun Features & Big Benefits - 52 unique, colorful illustrations - Letters written in bold, block-style - All upper- and lowercase letters included - Thick, glossy cardstock - Rounded corners for easy sorting - 3 Answer Cards for quick reference - Parent Card offers game instruction - A great value!  Read more",https://www.amazon.com/Alphabet-Wall-Chart-School-Charts/dp/1741815797,success,
9.78038E+12,Dancing Dinos Go to School (Step into Reading),Random House Books for Young Readers,11/7/2006,Step into Reading,Kindle,English,32,375832416,9.78038E+12,2.61,9,6,0.11,4.8,3811,In Stock,4.65,23723,4.8,4.5,Illustrated,"Sally Lucas, Margeaux Lucas",,"The dancing dinos are back, and this time they are taking over the classroom in this fun, rhyming Step 1 reader that is perfect for back to school! Dinos dancing in a book. Dinos leaping, look, look, look! Dinos pasting red and blue. Dinos wasting paint and glue! When the dancing dino's book turns up in a school library, they leap out and bring their musical mayhem to a kid’s classroom!  Step 1 Readers feature big type and easy words for children who know the alphabet and are eager to begin reading. Rhyme and rhythmic text paired picture clues help children decode the story.  Read more",https://www.amazon.com/Dancing-Dinos-School-Step-Reading/dp/0375832416,success,
9.78074E+12,The Big Battle (Disney Big Hero 6) (Step into Reading),RH/Disney,23/9/2014,Step into Reading,Kindle,English,32,736432450,9.78074E+12,4,9,6,0.25,4.8,15,,3.99,432027,4.8,6.5,,RH Disney,,"Big Hero 6 features brilliant robotics prodigy Hiro Hamada, who finds himself in the grips of a criminal plot that threatens to destroy the fast-paced, high-tech city of San Fransokyo. With the help of his closest companion—a robot named Baymax—Hiro joins forces with a reluctant team of first-time crime fighters on a mission to save their city. Boys and girls ages 5 to 8 will love this Step 3 Step into Reading leveled reader, which includes a set of battle cards featuring the heroes and villains of Big Hero 6!  Read more",https://www.amazon.com/Battle-Disney-Hero-Step-Reading/dp/0736432450,success,
9.78039E+12,Whales: The Gentle Giants,Random House Books for Young Readers,1/4/1989,Step into Reading,Kindle,English,48,394898095,9.78039E+12,3.6,9,6.1,0.12,4.5,176,In Stock,5.58,144818,4.5,5.5,,"Joyce Milton, Alton Langford",,"Learn all about these magnificent ocean mammals this Step 3 Step Into Reading Early Reader.This informative and easy-to-follow non-fiction reader explores the world of whales, from how they care for their young and defend each other against predators, to how they migrate, to how they eat and sleep in water.Step 3 Readers feature engaging narratives about popular topics for children who are ready to read on their own.  Read more",https://www.amazon.com/Whales-Gentle-Giants-Joyce-Milton/dp/0394898095,success,
9.78153E+12,Owlette and the Giving Owl: Ready-to-Read Level 1 (PJ Masks),Simon Spotlight,5/9/2017,Ready-to-Read Level 1,Kindle,English,32,1534403752,9.78153E+12,2.89,9,6,0.2,4.4,128,,4.99,1062698,4.4,5,Media tie-in,"Daphne Pendergrass, Style Guide",,"Owlette learns the importance of giving in this Level 1 Ready-to-Read based on PJ Masks, the hit preschool series airing on Disney Junior!For Owlette, it is time to be a hero and learn an important lesson: it feels good to be a giving owl! This paperback edition comes with two sheets of stickers! PJ Masks © Frog Box / Entertainment One UK Limited / Walt Disney EMEA Productions Limited 2014  Read more",https://www.amazon.com/Owlette-Giving-Owl-PJ-Masks/dp/1534403752,success,
9.78141E+12,3d Sticker Scene: Animal Survivors (Endangered Animals),Parragon Book Service Ltd,,,Paperback,English,,1407596195,9.78141E+12,9.1,,,,,,Only 1 left in stock - order soon.,8.8,,,,,,,,https://www.amazon.com/3d-Sticker-Scene-Survivors-Endangered/dp/1407596195,success,
,,,,,,,,,,,,,,4.7,,,,,,,,,,,https://www.amazon.com/Comprehension-and-Critical-Thinking-6-book-series/dp/B0D4QFYBYD,fail,
9.78134E+12,Dog Man: A Graphic Novel (Dog Man #1): From the Creator of Captain Underpants (1),Graphix,3/8/2021,,Kindle,English,240,1338741039,9.78134E+12,20.8,8.5,5.75,0.75,4.8,25172,In Stock,7.99,540,4.8,7.5,,Dav Pilkey,,"From worldwide bestselling author and artist Dav Pilkey comes Dog Man, the canine cop who's part dog, part man, and ALL HERO!George and Harold have created a new breed of justice. With the head of a dog and the body of a human, this heroic hound digs into deception, claws after crooks, rolls over robbers, and scampers after squirrels. Will he be able to resist the call of the wild to answer the call of duty?Dav Pilkey's wildly popular Dog Man series appeals to readers of all ages and explores universally positive themes, including empathy, kindness, persistence, and the importance of being true to one's self.  Read more",https://www.amazon.com/Dog-Man-Creator-Captain-Underpants/dp/1338741039,success,
9.78038E+12,Jack and Jill and Big Dog Bill: A Phonics Reader (Step Into Reading),Random House Books for Young Readers,22/1/2002,,Library Binding,English,32,375812482,9.78038E+12,2.61,9,6.06,0.14,4.6,179,In Stock,8.29,362151,4.6,4,unknown,Martha Weston,,"This wintry Step 1 Phonics Reader can start your child on the road to reading success!  Jack and Jill and big dog Bill go sledding one snowy winter day. When big dog Bill notices a rabbit on the hill, mayhem ensues. This fun Phonics Reader helps early readers with the use of rhyming, alliteration, and word families.Step 1 Readers feature big type and easy words for children who know the alphabet and are eager to begin reading. Rhyme and rhythmic text paired with picture clues help children decode the story.  Read more",https://www.amazon.com/Jack-Jill-Big-Dog-Bill/dp/0375812482,success,
